VIX Index,VIX Index,,SPX Index,SPX Index
1/3/2005,14.08,,1/3/2005,1202.08
1/4/2005,13.98,,1/4/2005,1188.05
1/5/2005,14.09,,1/5/2005,1183.74
1/6/2005,13.58,,1/6/2005,1187.89
1/7/2005,13.49,,1/7/2005,1186.19
1/10/2005,13.23,,1/10/2005,1190.24
1/11/2005,13.19,,1/11/2005,1182.99
1/12/2005,12.56,,1/12/2005,1187.7
1/13/2005,12.84,,1/13/2005,1177.45
1/14/2005,12.43,,1/14/2005,1184.52
1/18/2005,12.47,,1/18/2005,1195.98
1/19/2005,13.18,,1/19/2005,1184.63
1/20/2005,13.83,,1/20/2005,1175.41
1/21/2005,14.36,,1/21/2005,1167.87
1/24/2005,14.65,,1/24/2005,1163.75
1/25/2005,14.06,,1/25/2005,1168.41
1/26/2005,13.44,,1/26/2005,1174.07
1/27/2005,13.24,,1/27/2005,1174.55
1/28/2005,13.24,,1/28/2005,1171.36
1/31/2005,12.82,,1/31/2005,1181.27
2/1/2005,12.03,,2/1/2005,1189.41
2/2/2005,11.66,,2/2/2005,1193.19
2/3/2005,11.79,,2/3/2005,1189.89
2/4/2005,11.21,,2/4/2005,1203.03
2/7/2005,11.73,,2/7/2005,1201.72
2/8/2005,11.6,,2/8/2005,1202.3
2/9/2005,12,,2/9/2005,1191.99
2/10/2005,11.51,,2/10/2005,1197.01
2/11/2005,11.43,,2/11/2005,1205.3
2/14/2005,11.52,,2/14/2005,1206.14
2/15/2005,11.27,,2/15/2005,1210.13
2/16/2005,11.1,,2/16/2005,1210.34
2/17/2005,11.77,,2/17/2005,1200.75
2/18/2005,11.18,,2/18/2005,1201.59
2/22/2005,13.14,,2/22/2005,1184.16
2/23/2005,12.39,,2/23/2005,1190.8
2/24/2005,11.57,,2/24/2005,1200.2
2/25/2005,11.49,,2/25/2005,1211.37
2/28/2005,12.08,,2/28/2005,1203.6
3/1/2005,12.04,,3/1/2005,1210.41
3/2/2005,12.5,,3/2/2005,1210.08
3/3/2005,12.93,,3/3/2005,1210.47
